Author,Reviews,Location,Ratings,Review Title,Review Text,Date of Experience
Uha,1,TO,5,I totally understand that rates are…,"I totally understand that rates are fluctuating from time to time, what i like MG the most is that its fast and secure. How ever this is my very first time to have an account and is able to send money internationally. Apart from unstable internet connection i made so many attempts in creating my account due to errors. Finally im able to use it, what i fear is the fact that my family and friends back home where i send money to, have been once or twice blocked from receiving money on Money Gram without knowing why.  Therefore, i would like to know your reasons for those problems, as overcome by one of my friends, he was already sent money, but told by the teller that his named os blocked. The sender had to wait for a week or 2 until it got refunded to be send to another person. However the blocked person waited for 3 months until his name was unblocked due to the help of a BSP banker. please clarify on that. ",2024-05-23
Rene,1,US,5,I have not encountered any issues…,I have not encountered any issues whatsoever.  Everything has go e smoothly so far on my side qnd the recipients side.  Coverage for money pickups are many and secured.  My wife usually picksup the money at one of the many local banks. ,2024-05-09
Runi Saad,10,GB,5,Moneygram is a good and reliable company ,"Moneygram always my favourite company when I transfer money to my friend and family. Never had any issues, money always arrives on time, good rate, cheaper transfer fee. Happy with the service. ",2024-05-19
NK,1,AU,5,Convenient and efficient,"Quick and simple transaction via the App, very good exchange rates, low fees, end to end tracking and updates, easy to link to debit card. Definitely recommend them!",2024-04-30
Sambamwani,1,GB,5,You have been so much helpful as the…,You have been so much helpful as the recipient in desperate situation received the money as quick as possible ! Thank you for being there ,2024-05-23
Miguel,1,AU,5,I am very grateful to Moneygram,"I am very grateful to Moneygram, because the money I sent to my family in Timor Leste was received well.I am very grateful and proud of this application",2024-05-21
Anand,2,GB,5,It was wonderful 😊,"It was wonderful, easy, and convenient. Extremely very fast and competitive exchange rate. Completely reliable and secure. Verification process also very easy and fast. I definitely recommend it. Please try to utilise the promotion rate, it is really remarkable.",2024-05-16
Anita,1,US,4,Making repetitive transfers easy,Making repetitive transfers easy. I haven’t been able to pay by bank transfer directly from my bank account for the last 3 transfers. Instead I had to use my debit card. Bank transfer is a cheaper method for me. ,2024-05-15
Rev. E. Mustapha ,5,GB,3,Mixed feelings ,"The pick up aspect of money gram works very well. It’s also easy to send money . However, the mobile money payment system is terrible and therefore unreliable . My money has been unpaid and returned on several occasions. MoneyGram needs to revamp the payment into mobile wallet to get a 5 star for me ",2024-05-23
Sujan,1,AU,5,Direct send money to my bank account ,I can direct send money from Australia to my Bangladesh bank account easily within 2 days.great experience ,2024-05-23
Darwin,1,GB,5,Awesome and timely transfer....5 star…,Awesome and timely transfer....5 star service....efficiency is spot on too....I will use this service every time once possible. ,2024-05-18
David,1,GB,5,NO PROBLEM SENDING MONEY VIA BANK OR…,NO PROBLEM SENDING MONEY VIA BANK OR DEBIT CARD NO FEES FAULTLESS TRANSFER EVERY TIME ,2024-05-21
Svenja,1,DE,3,Useful and fast when working,"When it worked it was easy and the money was really fast at the other persons account, but it took me more than one hour to get it done as the page was not working well at all. Loading forever (internet was perfect), saying its disponible right now and so on…",2024-05-24
Anneta,1,US,4,You make it easy to send money to our…,You make it easy to send money to our family bank home and the payment is more than what others are giving so if you keep that up I'll say loyal!!.,2024-05-09
customer,2,US,5,Instant access,I’m please with ability to to do my transactions via your app. Is extremely easy and efficient in the comfort of my own home. ,2024-05-20
Sihle,1,US,4,I love the efficiency and so easy to…,"I love the efficiency and so easy to navigate interface, however I was disappointed that I could not transfer into my bank account in Eswatini,  there is no feature for that on my App. I also love the notifications from my email once pickup has been done",2024-05-20
Avia,1,US,5,"This is a great  company,they are…","This is a great  company,they are courteous,and  they provide excellent service I never had any issues with them I will recommend this company to my friends and family.",2024-05-07
Paul Strong,2,MX,1,"Never received money, moneygram refuses to help for 90 days.","Never received money, MoneyGram is holding it for 90 days. I transferred 772 usd to myself in Mexico like I have done on many occasions before, except this time I never got the money. When I called customer service to complain they said that their records show that it was transferred and that there was nothing they could do for now. They said they would initiate an investigation but it could take up to 90 days to get any resolution. Even after talking to a supervisor explaining that we really needed the money they callously just said we'd have to wait 30-90 days.Turns out this has been a standing practice of theirs. Just checkout BBB reviews, don't trust the good rating on TrustPilot!",2024-05-22
Semone,2,US,5,Excellent Service ,"MG customer support is amazing, the services are fast and safe and you are protected. My family and I love them. ",2024-05-22
Mike,1,US,3,The main reason I am using Moneygram is…low fees on bank account money transfer.  I hope you will open this option again. ,The main reason I am using Moneygram is to send money to my family.  So low fees on Bank account transfers was excellent option for me.  Otherwise I like moneygram service.  Thank you.,2024-05-13
Raquel,1,US,5,I can always depend on money gram when…,I can always depend on money gram when my family and loved ones need my assistance! You guys always come trough with no hassle! Thank you!,2024-04-17
Jean,2,US,5,Money always reach on time ,Money always reach on time . No problem at all great service. Already recommended my family and friends to use money gram.Keep up the great work,2024-05-22
 Juanita Wilson,5,GB,3,International payment ,I made a direct bank to bank transfer from the UK to the USA.  Transfer was cancelled after 3 days with no explanation which would be very helpful for the future. Pick up transfers to the Caribbean I have no problems with . ,2024-05-11
Sharon,1,GB,5,By following simple steps I could…,By following simple steps I could transfer the money to my family and it took 24 hours ,2024-04-07
Karen,1,IM,5,"It was more than perfect ,fast ","It was more than perfect ,fast , Reliable, and safe, thank you so much!!! You help me a lot with my family abroad ",2024-05-03
Oldemar,1,US,5,We always can relay in moneygram,"We always can relay in moneygram, best app. Right now, my people received the money just two minutes after We sent it.",2024-05-03
Michael V,2,US,5,Lots of pick up points,Let's me send and receive money while I am in the Philippines.  Works well. Lower rate then competition. Saves me money. Lots of places to pick up the cash.,2024-05-22
Adrian,1,US,2,Unable to send directly to a bank account,The first few transfers went great! Then I tried to send money again and it does not give me an option to send directly to the receivers bank account very disappointing! ,2024-05-17
Nancy,1,US,5,It very easy and efficient for me to…,It very easy and efficient for me to send money i truly appreciate you guys service it’s extremely excellent service and customer care great job,2024-05-22
Joseph,4,US,1,Terrible service,"Terrible service, still holding up my transaction! When I call they are rude and stupid! I won’t be using this service again! And I am supposed to be a premier customer! Not!",2024-05-21
Mirela Oprea,1,GB,1,The worst experience ,"The worst experience i ever had,i ve send 7000£with moneygram abroad and they take my money,never send it to the reciver ,keep my money for 16days and after a lot of calls  the was keep saying they didn t take my money,i contact the bank i wait 16 days and in the end i recive my money back from moneygram ...Surprise...the money come back from them and they was keep saying didn t have my moneyAny way ...i sm not happy with this moneygram and i not recomand it to send money with them",2024-04-30
Errol,2,US,3,Website a little difficult to…,"Website a little difficult to navigate—could be more user friendly:Suggest modifying the user interface—increasing transaction pages. At present, too many activities required on one page.",2024-05-10
Vince Trinh,5,AU,5,Great and professional services,Great and professional services. Quick and ontime manner with low fee. Highly recommend,2024-05-23
Julian,2,GB,5,Super easy to use,Super easy to use. I sent money to West Africa and the whole transaction took less than 10 minutes. Perfect.,2024-05-17
Nikola Nikolov,3,BG,5,Fastest services,"Fastest services, with great discounts, good rates and low fees ",2024-05-20
Luseane Singh,1,US,5,Thank you for your services I do…THANK YOU.,Thank you for your services I do appreciate. Keep up the good job.,2024-05-22
Mary l Bolt,4,US,5,Your experience was felt great because…a great customer service experience,Your experience was felt great because you serviced US during a hard time you're not being separated you know so far my husband will be coming home Friday or Saturday and I'm gratefully appreciative of all of the service and help that you provided Us in doing that to bring our family together.,2024-05-22
ELENA NICOLAE,2,GB,5,Sent money and my friends received vrt…,Sent money and my friends received vrt quick and without problem.  Thank you Moneygram!                     Elena ,2024-02-15
Spooner B,3,US,5,The whole deal was easily done very…,The whole deal was easily done very good experience 👏 ,2024-05-04
Hassan,1,GB,5,Indeed,"Indeed, MoneyGram is the best company. Transfers. You go at the same time. Thank you very much.",2024-05-23
Genara mangas gormley,1,AU,5,Moneygram fast and reliable,"Moneygram i am your client for long,very fast and reliable ",2024-05-02
saurabh verma,3,GB,5,Excellent rates and service,Excellent transfer services and comparative rates provided. Recommended to others looking to transfer the hard-earned money to their native countries 👍🏻,2024-05-18
Carmencita ,4,GB,5,It's is great services on line with…,It's is great services on line with money gram I use them for many years to send money to help the expenses of my dad in another country....,2024-05-09
Chris,4,US,5,This is very convenient fast easy…,This is very convenient fast easy understanding and always keeps you updated on every transaction ,2024-05-20
Eustace,1,US,5,Great value for the service,Great value for the service. Gonna recommend you to family and friends. ,2024-04-26
omaima Elsayed,3,GB,5,It’s amazing how easy and fast to…,It’s amazing how easy and fast to transferred to someone you love ❤️ ,2024-05-12
Hugo McGowan,4,GB,1,This service is woeful,This service is woeful. I have spent three hours trying to move money to Greece from the Uk and failed spectacularly. I have now lost the will to live and deleted the app. Their customer support is hopeless. If you want a thrombosis try Moneygram! ,2024-05-17
Chantel,1,US,5,I love how having the moneygram app…,I love how having the moneygram app makes it easy to send money to my son ,2024-05-22
Ribens,1,US,5,Everything except the fees compare to…,Everything great except the fees compare to other ….,2024-05-21
Lukas,12,GB,5,Very simple to use and competitive fees,No review text,2024-04-23
Robert Adams,10,GB,5,Hassle free transfer,Hassle free transfer. The money arrived in my sister's account within minutes. I had a confirmation email.,2024-05-14
Rayon,4,GB,5,The app was easy to use,The app was easy to use. Fast and effective service. ,2024-05-17
Shaleen�Maharaj,3,US,3,I liked it before with MoneyGram fees…,I liked it before with MoneyGram fees was $4.99 now it went up to $8.99. I don't understand one time I paid $4.99 and after few weeks paying $8.99. How can fees go up and down? Why can't just have one fixed fees?,2024-05-20
Meldagar,1,GB,5,The online Moneygram service was great,No review text,2024-05-23
Elizabeth,1,US,5,I have a great experience with money…,I have a great experience with money gram,2024-05-13
Denzil,1,GB,5,"Hi MG,I am loving what you are doing for us. Me and my kids thank you 🙏🏿 ","My experience with Money Gram international, I should send money for my kids and did not remember to do it. And usually I use the next company WU. My sister introduced me to send the money to her bank account 🙄 I was like can I do that. She say yes from that day MG all the way.from me to my kids like ⚡️⚡️⚡️⚡️⚡️⚡️loving it.⭐️⭐️⭐️⭐️⭐️⭐️💯",2024-05-04
S Ba,2,US,1,Good company but bad customer service , I am old customer with them In the last three months after they approved it and taken the money from my bank they cancele the transaction .  In top of that they hold the money for 10 business days. ,2024-05-20
Tahir,2,GB,1,Scamming company I've been sent money…,Scamming company I've been sent money by my wife as I had to come abroad but its day four today but still not received money avoid these scammers ,2024-05-11
Teresa Bryan Harris ,2,US,5,At Sending made simple! At first it was confusing but after a…,At first it was confusing but after a few times it became easier and I love being able to just go in and send it each month to way it was already set up the month prior. ,2024-03-07
Mr.Garnett,1,GB,5,The service was straight forward and…,The service was straight forward and easy to use. ,2024-05-17
