Text,Label
???? ????? ???????? ???????? ?????? ??? ???,0
?? ??? ???? ??????? ??? ??? ??? ????? ?? ???,0
?????? ??? ???? ????? ???? ?? ?? ????? ?????? ?? ?? ??????,0
????? ????? ????? ??? ??? ??? ?? ????? ??? ??????,0
?? ???? ?????? ????? ?? ???? ??? ???? ????? ???? ??????,0
?? ???? ???????? ????? ? ????,0
??? ??????????? ????? ??????? ????? ?????,0
?????? ??????? ?? ???? ???? ?? ?? ????? ???? ???? ?????? ????????? ????? ????? ,0
??? ?????? ????? ??? ?,0
??? ??????? ?????? ?????? ????????? ????? ????? ????? ,0
"???????? ?? ???? ????? ?????? ?????????, ?????? ??? ?? ????? ????? ???",0
???? ?????? ? ??????????? ??? ?? ??? ???? ??? ????? ?? ??????? ???? ??????????? ??? ?????,0
"??? ????, ???????? ???? ????? ???? ???? ?? ????? ?????? ????? ???? ??, ???? ????? ??????? ",0
??? ?????????? ?? ???? ??????? ??? ???? ?? ???????,0
??? ???? ??? ????? ????? ????? ?? ??? ???? ???? ???? ???,0
????? ?????????? ?????? ?????? ???? ????? ??? ,0
??????? ???? ????? ???? ????? ??? ,0
?????? ???? ???? ?? ???? ?????? ??? ??? ?????,0
????? ????? ??? ??...?? ???? ??? ??? ????..,0
????????? ?? ?? ????? ???? ???????? ???? ???? ???? ????,0
?? ???? ????? ?? ???? ???? ???? ??? ?? ???????? ??? ???? ???,0
"???? ??? ?? ???????? ?????? ???? ??,???? ?? ??? ?????? ???? ??,",0
??? ?????? ???? ????? ??? ?? ???.. ,0
??? ?? ???? ????? ????? ?????,0
???? ?? ??? ???? ?? ???? ????????? ????,0
????? ??? ????? ?????? ?????? ?? ?? ????? ???????????? ?? ???? ??? ????? ???? ,0
???????? ?? ???? ?? ???? ????? ???? ??????? ?????? ????,0
???? ????? ????? ???????? ????,0
"?????? ?????? ?? ???? ???? ???? ???,??? ???? ??? ?????? ?????? ????..",0
"??? ?????? ??? ???? ????,?? ?????? ?? ?????? ?????? ?? ?? ???? ??? ?????? ??????",0
??? ????? ??? ????? ,0
??? ????????? ???????? ????? ?? ,0
???? ???? ???? ?????? ??? ?? ???? ,0
??? ?? ???????? ???????? ??? ???? ????? ???? ?????,0
?????? ?????? ??? ????? ???? ???????? ?????? ?????? ??? ,0
??? ?? ???? ?????? ???? ?????? ? ????? ?? ?? ??? ?? ?,0
?????? ??? ?????? ???? ????? ??? ?? ???????? ,0
??? ??? ????? ????? ???? ????? ???? ?? ???,0
????? ????? ??? ??????? ????? ????? ???? ??????????,0
??????? ??? ???? ?? ????? ???? ????,0
?? ???? ????? ??? ?????? ??? ???? ???,0
???? ???? ?? ????????? ???????? ????? ??????? ???? ???? ??????? ?????!,0
??? ??? ???.????? ??? ????? ???? ????? ?????? ???? ????,0
"???? ????? ?? ?? ? ??? ???,",0
"????? ???? ???? ????,",0
???? ???? ?????? ?????? ?????? ,0
??????? ? ?? ???? ?????? ???? ??? ??? ???? ???? ??? ,0
?? ????????? ?????????? ????? ???? ??????? ????? ???? ?????!!,0
?????? ??? ???? ?????? ???? ??? ???????,0
?????????? ??? ????????? ??????? ?????,0
?????? ? ??????? ??????? ???? ???? ???? ???? ????? ????,0
??? ?????? ???? ????? ????,0
???? ??? ????? ???? ???? ????? ??? ?????? ????? ???? ??????,0
"?? ??? ????? ????? ??,?????? ???? ? ???? ??????? ??,",0
??? ????? ??? ???? ??? ?????????? ??????? ????? ????,0
???? ??????? ???? ????? ?????? ???? ???? ???? ???? ??,0
??? ????? ????? ? ??? ????,0
"??????? ???? ?? ???????? ??? ???????? ??????,",0
?? ???? ???? ???? ?? ,0
??? ?? ???? ???? ??? ????? ??? ??????? ,0
"?????? ??????? ??? ??? ???????? ?????, ???? ???? ??????? judge ????? ",0
?? ???? ???? ????? ???? ?????? ?? ?? ???? ????? ????? ?? ?? ??,0
??? ?? ??? ??? ??????? ??????? ???? ??? ,0
???? ????? ?????? ???? ???? ??? ????? ????? ,0
???????? ?? ????????? ???? ?? ????? ?? ,0
?????? ?????????? ??? ????? ?????? ???? ?? ??? ????? ????-???? ??? ???? ???? ???? ,0
????? ?? ?????? ????????????? ????????????? ?????????????,0
??????? ???? ????? ???? ?? ????? ,0
????? ?? ????? ,0
????? ????? ?????? ??? ????? ????? ?????? ????? ????...!,0
????? ???????????? ?????????,0
