age,fnlwgt,educational-num,hours-per-week,log-capital-gain,log-capital-loss,private_workclass,postgrad_education,after_HS_education,school_education,married,occupation_cat_blue_collar,occupation_cat_others,occupation_cat_service,occupation_cat_white_collar,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,race_white,gender_male,country_US,high_income
71,77253,9,17,0.0,0.0,True,0,1,0,0,1,0,0,0,0,1,0,0,0,0,True,True,True,False
17,329783,6,10,0.0,0.0,True,0,0,1,0,0,0,0,1,0,0,1,0,0,0,True,False,True,False
27,91257,9,40,0.0,0.0,True,0,1,0,1,0,0,1,0,1,0,0,0,0,0,True,True,False,False
43,125577,9,40,0.0,0.0,True,0,1,0,0,0,0,0,1,0,0,0,0,1,0,False,False,True,False
31,137978,13,40,0.0,0.0,True,0,1,0,1,0,0,0,1,1,0,0,0,0,0,True,True,True,False
20,147344,10,20,0.0,0.0,True,0,1,0,0,1,0,0,0,0,0,0,1,0,0,True,True,True,False
20,201766,10,35,0.0,0.0,False,0,1,0,0,0,1,0,0,0,0,0,1,0,0,True,False,True,False
50,185846,9,40,0.0,0.0,True,0,1,0,1,0,0,0,1,1,0,0,0,0,0,True,True,True,False
44,192771,9,40,0.0,0.0,False,0,1,0,0,0,0,0,1,0,0,0,0,1,0,True,False,True,False
18,201901,9,15,0.0,7.450079569807499,True,0,1,0,0,1,0,0,0,0,0,0,1,0,0,True,False,True,False
23,238092,13,40,0.0,0.0,True,0,1,0,0,0,0,0,1,0,0,0,1,0,0,True,True,True,False
48,369522,10,60,0.0,0.0,True,0,1,0,0,0,0,0,1,0,1,0,0,0,0,True,False,True,False
29,413297,12,45,0.0,0.0,True,0,1,0,0,0,0,0,1,0,1,0,0,0,0,True,True,False,False
45,166181,9,40,0.0,0.0,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,False,False,True,False
34,213307,9,35,8.915163617762142,0.0,True,0,1,0,0,1,0,0,0,0,0,0,0,1,0,True,False,True,False
45,148549,10,56,10.233833921427351,0.0,True,0,1,0,0,1,0,0,0,0,1,0,0,0,0,True,True,True,True
25,143062,9,40,0.0,0.0,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,True,False,True,False
