longitude,latitude,code,name,type,phone,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
-114.353,53.675,ALBE,Alberta Beach Family RV Park,CP,780.924.2333,mid may-late sep,,30,,WES,AB,,,Alberta Beach
-112.332,53.88,ANDR,Andrew RV Park,CP,780.365.3687,mid may-late aug,no tents,15,,WES,AB,,,Andrew
-113.962,52.034,ANTH,Anthony Henday,CP,403.318.3508,mid may-mid oct,pull thrus,45,,E DP SH RS,AB,,,Innisfail
-110.59,52.75,ARML,Arm Lake Rec Area,CP,780.842.4727,mid may-mid oct,big rigs OK,100,,WE,AB,,,Wainwright
-117.164,58.49,ASPE,Aspen Ridge,CP,780.926.4540,,,40,,WES,AB,,,High Level
-116.073,52.396,AYLM,Aylmer Provincial Rec Area,PP,403.845.8349,,,7,3925,NR,AB,,,
-113.532,54.733,BAPT,Baptiste Lake,CP,,mid may-mid sep,,10,,NH,AB,,,Athabasca
-112.463,50.787,BASS,Bassano Homecoming Trailer Park,CP,403.641.3788,mid may-late oct,,20,,WE,AB,,,Bassano
-110.027,49.652,BATT,Battle Creek - Cypress Hills Interprov. Park,PP,403.893.3833,,,16,4026,NR,AB,0.6,W,Elkwater
-114.167,52.966,BATT,Battle Lake Park,CP,780.586.0722,all year,,40,,DP SH,AB,,,Wetaskiwin
-116.158,53.74,BEAR,Bear Lake,CP,780.693.2479,mid may-mid sep,pull thrus,30,,NH,AB,,,Edson
-114.1,49.413,BEAU,Beauvais Lake Provincial Park,PP,403.382.4097,,,90,,E NR,AB,8.4,SW,Pincher Creek
-110.294,49.658,BEAC,Beaver Creek - Cypress Hills Interprov. Park,PP,403.893.3833,,,39,4017,WE RS,AB,0.6,W,Elkwater
-114.797,50.857,BEAF,Beaver Flats - Elbow Falls Provincial Rec Area,PP,403.949.4261,,,55,5004,NH NR,AB,11.9,SW,Bragg Creek
-111.881,54.758,BEAL,Beaver Lake Provincial Rec Area,PP,780.623.9222,,,90,1893,E RS,AB,3.7,E,Lac La Biche
-114.298,49.367,BEAM,Beaver Mines Lake Rec Area,PP,403.563.5395,,,97,,NR,AB,,,
-116.01,52.489,BEAD,Beaverdam Provincial Rec Area,PP,403.845.8349,,,10,4303,NR,AB,,,
-119.434,55.214,BEAV,Beaverlodge Pioneer,CP,780.354.2201,mid may-late sep,no tents,20,,WES DP SH,AB,,,Beaverlodge
-113.529,51.387,BEIS,Beiseker Municipal,CP,403 888.9730,mid may-mid oct,pull thrus,50,,WES,AB,,,Beiseker
-112.152,54.105,BELL,Bellis Beach Lake,CP,780.656.3037,mid may-mid oct,,20,,,AB,,,Smoky Lake County
-113.685,49.025,BELL,Belly River - Waterton Lakes National Park,CNP,,,,24,4528,NH NR,AB,11.1,E,Waterton Park
-115.581,53.733,BETA,Beta Lake,CP,780.723.4800,mid may-mid oct,,7,,NH,AB,,,Nojack
-118.365,53.756,BIGB,Big Berland Provincial Rec Area,PP,780.827.1382,,,18,4575,NR,AB,,,
-112.22,52.489,BIGK,Big Knife Provincial Park,PP,403.742.7512,,,50,2223,NR,AB,9.1,SW,Forestburg
-112.533,53.215,BLAC,Black Nugget Lake,CP,780.663.2421,early may-mid oct,,66,,E DP RS,AB,,,Tofield
-116.327,52.614,BLAC,Blackstone Provincial Rec Area,PP,403.845.8349,,,10,4436,NR,AB,,,
