Zip,Merchant State,User_Freq_Day,Time_Diff_Hours,MCC,Merchant City,Amount,Is Fraud?
91750.0,5,1,0.0,5912,20,2.3,0
91750.0,5,1,16601.95,5912,20,128.35,0
91750.0,5,1,15576.9,5411,20,149.12,0
91750.0,5,1,6273.6,5311,20,96.19,1
91750.0,5,1,43146.01666666667,7538,20,71.56,0
91750.0,5,1,8397.05,5912,20,152.65,0
50956.44211506332,5,1,10638.766666666666,5300,13,44.57,1
11373.0,50,1,0.0,4214,20,9.37,0
50956.44211506332,5,1,37719.75,4814,13,72.96,0
50956.44211506332,5,2,14761.366666666667,3256,13,77.96,1
50956.44211506332,21,2,4.416666666666667,5310,20,142.59,1
50956.44211506332,5,1,19.466666666666665,5719,13,157.78,1
50956.44211506332,29,1,80213.33333333333,5921,20,38.63,1
50956.44211506332,29,1,144.11666666666667,5411,20,55.58,1
11363.0,50,1,2321.0333333333333,5655,20,101.88,0
91977.0,5,1,0.0,5942,20,41.66,0
91792.0,5,1,63640.78333333333,7832,20,17.98,0
50956.44211506332,5,1,11431.45,4784,13,44.69,0
50956.44211506332,5,2,5826.883333333333,4722,13,147.34,1
44680.0,52,2,0.5333333333333333,5211,20,209.43,1
50956.44211506332,5,1,5466.616666666667,4784,13,48.52,0
50956.44211506332,5,1,11070.283333333333,5300,13,346.11,1
50956.44211506332,5,1,24.033333333333335,5251,13,58.16,1
50956.44211506332,5,1,19491.683333333334,4784,13,48.8,0
50956.44211506332,29,1,1221.4833333333333,5712,20,327.87,1
91792.0,5,1,6858.283333333334,5541,20,7.95,0
50956.44211506332,5,1,0.0,5719,13,5.61,1
50956.44211506332,5,1,38.46666666666667,5719,13,240.53,1
10281.0,50,1,5854.75,4814,12,118.08,0
10075.0,50,1,33607.36666666667,5812,12,32.35,0
94118.0,5,1,0.0,5310,18,95.6,0
94117.0,5,1,6091.883333333333,5411,18,23.03,0
94117.0,5,1,42981.98333333333,5300,18,11.41,0
94117.0,5,1,3717.6,5912,18,100.0,0
50956.44211506332,5,1,28491.8,7922,13,237.01,0
94117.0,5,1,5519.533333333334,5912,18,108.61,0
94117.0,5,1,27461.183333333334,5310,18,102.36,0
52803.0,22,1,0.0,5193,20,71.97,0
60409.0,24,1,20265.516666666666,5813,20,17.8,0
52803.0,22,1,9380.35,5311,20,51.87,0
52803.0,22,1,1852.1833333333334,5813,20,22.37,0
