,words
0,অই
1,অগত্যা
2,অত: পর
3,অতএব
4,অথচ
5,অথবা
6,অধিক
7,অধীনে
8,অধ্যায়
9,অনুগ্রহ
10,অনুভূত
11,অনুযায়ী
12,অনুরূপ
13,অনুসন্ধান
14,অনুসরণ
15,অনুসারে
16,অনুসৃত
17,অনেক
18,অনেকে
19,অনেকেই
20,অন্তত
21,অন্য
22,অন্যত্র
23,অন্যভাবে
24,অন্যান্য
25,অপেক্ষাকৃতভাবে
26,অবধি
27,অবশ্য
28,অবশ্যই
29,অবস্থা
30,অবিলম্বে
31,অভ্যন্তরস্থ
32,অর্জিত
33,অর্থাত
34,অসদৃশ
35,অসম্ভাব্য
36,আইন
37,আউট
38,আক্রান্ত
39,আগামী
40,আগে
41,আগেই
42,আগ্রহী
43,আছে
44,আজ
45,আট
46,আদেশ
47,আদ্যভাগে
48,আন্দাজ
49,আপনার
50,আপনি
51,আবার
52,আমরা
53,আমাকে
54,আমাদিগের
55,আমাদের
56,আমার
57,আমি
58,আর
59,আরও
60,আশি
61,আশু
62,আসা
63,আসে
64,ই
65,ইচ্ছা
66,ইচ্ছাপূর্বক
67,ইতিমধ্যে
68,ইতোমধ্যে
69,ইত্যাদি
70,ইশারা
71,ইহা
72,ইহাতে
73,উক্তি
74,উচিত
75,উচ্চ
76,উঠা
77,উত্তম
78,উত্তর
79,উনি
80,উপর
81,উপরে
82,উপলব্ধ
83,উপায়
84,উভয়
85,উল্লেখ
86,উল্লেখযোগ্যভাবে
87,উহার
88,ঊর্ধ্বতন
89,এ
90,এপর্যন্ত
91,এঁদের
92,এঁরা
93,এই
94,এইগুলো
95,এইভাবে
96,এক
97,একই
98,একটি
99,একদা
100,একবার
101,একভাবে
102,একরকম
103,একসঙ্গে
104,একা
105,একে
106,এক্
107,এখন
108,এখনও
109,এখনো
110,এখানে
111,এখানেই
112,এছাড়াও
113,এটা
114,এটাই
115,এটি
116,এত
117,এতটাই
118,এতদ্বারা
119,এতে
120,এদিকে
121,এদের
122,এপর্যন্ত
123,এবং
124,এবার
125,এমন
126,এমনকি
127,এমনকী
128,এমনি
129,এর
130,এরকম
131,এরা
132,এল
133,এলাকায়
134,এলাকার
135,এস
136,এসে
137,ঐ
138,ও
139,ওঁদের
140,ওঁর
141,ওঁরা
142,ওই
143,ওকে
144,ওখানে
145,ওদের
146,ওর
147,ওরা
148,ওহে
149,কক্ষ
150,কখন
151,কখনও
152,কত
153,কবে
154,কম
155,কমনে
156,কয়েক
157,কয়েকটি
158,করছে
159,করছেন
160,করতে
161,করবে
162,করবেন
163,করলে
164,করলেন
165,করলো
166,করা
167,করাই
168,করাত
169,করার
170,করায়
171,করি
172,করিতে
173,করিয়া
174,করিয়ে
175,করে
176,করেই
177,করেছিল
178,করেছিলেন
179,করেছে
180,করেছেন
181,করেন
182,কর্তব্য
183,কাউকে
184,কাছ
185,কাছাকাছি
186,কাছে
187,কাজ
188,কাজে
189,কারও
190,কারণ
191,কারণসমূহ
192,কারো
193,কি
194,কিংবা
195,কিছু
196,কিছুই
197,কিছুটা
198,কিছুনা
199,কিনা
200,কিন্তু
201,কিভাবে
202,কী
203,কূপ
204,কে
205,কেউ
206,কেউই
207,কেউনা
208,কেখা
209,কেন
210,কেবল
211,কেবা
212,কেস
213,কেহ
214,কোটি
215,কোথা
216,কোথাও
217,কোথায়
218,কোন
219,কোনও
220,কোনো
221,ক্রম
222,ক্ষেত্রে
223,কয়েক
224,কয়েকটি
225,খুঁজছেন
226,খুব
227,খোলা
228,খোলে
229,গড়
230,গত
231,গিয়ে
232,গিয়েছিলাম
233,গিয়েছে
234,গিয়ে
235,গিয়েছে
236,গুরুত্ব
237,গুলি
238,গেছে
239,গেল
240,গেলে
241,গোটা
242,গোষ্ঠীবদ্ধ
243,গ্রহণ
244,গ্রুপ
245,ঘর
246,ঘোষণা
247,চলে
248,চান
249,চায়
250,চার
251,চালা
252,চালান
253,চালু
254,চায়
255,চেয়ে
256,চেয়েছিলেন
257,চেষ্টা
258,চেয়ে
259,ছয়
260,ছাড়া
261,ছাড়াছাড়ি
262,ছাড়া
263,ছাড়াও
264,ছিল
265,ছিলেন
266,ছোট
267,জন
268,জনকে
269,জনাব
270,জনাবা
271,জনের
272,জন্য
273,জানতাম
274,জানতে
275,জানা
276,জানানো
277,জানায়
278,জানিয়ে
279,জানিয়েছে
280,জানে
281,জায়গা
282,জিজ্ঞাসা
283,জিজ্ঞেস
284,জিনিস
285,জে
286,জ্নজন
287,টা
288,টি
289,ঠিক
290,ঠিকআছে
291,ডগা
292,তখন
293,তত
294,তত্কারণে
295,তত্প্রতি
296,তথা
297,তদনুসারে
298,তদ্ব্যতীত
299,তন্নতন্ন
300,তবু
301,তবে
302,তরুণ
303,তা
304,তাঁকে
305,তাঁদের
306,তাঁর
307,তাঁরা
308,তাঁহারা
309,তাই
310,তাও
311,তাকে
312,তাতে
313,তাদের
314,তার
315,তারপর
316,তারপরেও
317,তারা
318,তারিখ
319,তারৈ
320,তাহলে
321,তাহা
322,তাহাতে
323,তাহাদিগকে
324,তাহাদেরই
325,তাহার
326,তিন
327,তিনি
328,তিনিও
329,তীক্ষ্ন
330,তুমি
331,তুলে
332,তেমন
333,তৈরীর
334,তো
335,তোমার
336,তোলে
337,থাকবে
338,থাকবেন
339,থাকা
340,থাকায়
341,থাকায়
342,থাকে
343,থাকেন
344,থেকে
345,থেকেই
346,থেকেও
347,দরকারী
348,দলবদ্ধ
349,দান
350,দিকে
351,দিতে
352,দিন
353,দিয়ে
354,দিয়েছে
355,দিয়েছেন
356,দিলেন
357,দিয়ে
358,দিয়েছে
359,দিয়েছেন
360,দু
361,দুই
362,দুটি
363,দুটো
364,দূরে
365,দেওয়ার
366,দেওয়া
367,দেওয়ার
368,দেখতে
369,দেখা
370,দেখাচ্ছে
371,দেখিয়েছেন
372,দেখে
373,দেখেন
374,দেন
375,দেয়
376,দেয়
377,দ্বারা
378,দ্বিগুণ
379,দ্বিতীয়
380,দ্য
381,ধরা
382,ধরে
383,ধামার
384,নতুন
385,নব্বই
386,নয়
387,নাই
388,নাকি
389,নাগাদ
390,নানা
391,নাম
392,নিচে
393,নিছক
394,নিজে
395,নিজেই
396,নিজেকে
397,নিজেদের
398,নিজেদেরকে
399,নিজের
400,নিতে
401,নিদিষ্ট
402,নিম্নাভিমুখে
403,নিয়ে
404,নির্দিষ্ট
405,নির্বিশেষে
406,নিশ্চিত
407,নিয়ে
408,নেই
409,নেওয়ার
410,নেওয়া
411,নেয়ার
412,নয়
413,পক্ষই
414,পক্ষে
415,পঞ্চম
416,পড়া
417,পণ্য
418,পথ
419,পয়েন্ট
420,পর
421,পরন্তু
422,পরবর্তী
423,পরিণত
424,পরিবর্তে
425,পরে
426,পরেই
427,পরেও
428,পর্যন্ত
429,পর্যাপ্ত
430,পাঁচ
431,পাওয়া
432,পাচ
433,পায়
434,পারা
435,পারি
436,পারিনি
437,পারে
438,পারেন
439,পালা
440,পাশ
441,পাশে
442,পিছনে
443,পিঠের
444,পুরোনো
445,পুরোপুরি
446,পূর্বে
447,পৃষ্ঠা
448,পৃষ্ঠাগুলি
449,পেছনে
450,পেয়েছেন
451,পেয়ে
452,পেয়্র্
453,প্রকৃতপক্ষে
454,প্রণীত
455,প্রতি
456,প্রথম
457,প্রদত্ত
458,প্রদর্শনী
459,প্রদর্শিত
460,প্রধানত
461,প্রবলভাবে
462,প্রভৃতি
463,প্রমাণীকরণ
464,প্রযন্ত
465,প্রয়োজন
466,প্রয়োজনীয়
467,প্রসূত
468,প্রাক্তন
469,প্রাথমিক
470,প্রাথমিকভাবে
471,প্রান্ত
472,প্রাপ্ত
473,প্রায়
474,প্রায়ই
475,প্রায়
